date,store_id,dept_id,units_sold,unit_price,is_promo,is_holiday,temperature_c,revenue
2021-01-01,1,1,749,29.55,1,1,9.2,22132.95
2021-01-02,1,1,372,35.25,0,0,9.6,13113.0
2021-01-03,1,1,363,32.88,0,0,10.4,11935.44
2021-01-04,1,1,480,29.47,1,0,8.4,14145.6
2021-01-05,1,1,280,34.74,0,0,9.3,9727.2
2021-01-06,1,1,293,32.63,0,0,11.0,9560.59
2021-01-07,1,1,277,33.21,0,0,8.7,9199.17
2021-01-08,1,1,314,32.55,0,0,8.9,10220.7
2021-01-09,1,1,381,33.59,0,0,11.8,12797.79
2021-01-10,1,1,371,33.42,0,0,11.4,12398.82
2021-01-11,1,1,298,32.79,0,0,11.3,9771.42
2021-01-12,1,1,310,34.5,0,0,10.7,10695.0
2021-01-13,1,1,281,32.59,0,0,14.5,9157.79
2021-01-14,1,1,321,34.02,0,0,11.1,10920.42
2021-01-15,1,1,314,34.0,0,0,13.5,10676.0
2021-01-16,1,1,611,28.47,1,0,9.6,17395.17
2021-01-17,1,1,351,33.06,0,0,12.6,11604.06
2021-01-18,1,1,294,34.76,0,0,13.8,10219.44
2021-01-19,1,1,317,32.68,0,0,12.0,10359.56
2021-01-20,1,1,531,27.76,1,0,13.0,14740.56
2021-01-21,1,1,320,33.62,0,0,13.0,10758.4
2021-01-22,1,1,309,33.34,0,0,10.5,10302.06
2021-01-23,1,1,718,29.31,1,0,12.8,21044.58
2021-01-24,1,1,381,34.54,0,0,11.9,13159.74
2021-01-25,1,1,291,35.16,0,0,15.6,10231.56
2021-01-26,1,1,328,34.07,0,0,13.0,11174.96
2021-01-27,1,1,320,34.54,0,0,14.8,11052.8
2021-01-28,1,1,361,34.31,0,0,12.5,12385.91
2021-01-29,1,1,327,33.78,0,0,16.5,11046.06
2021-01-30,1,1,451,34.1,0,0,13.7,15379.1
2021-01-31,1,1,393,33.28,0,0,16.5,13079.04
2021-02-01,1,1,533,29.54,1,0,17.1,15744.82
2021-02-02,1,1,404,35.28,0,0,13.6,14253.12
2021-02-03,1,1,336,33.23,0,0,15.0,11165.28
2021-02-04,1,1,326,34.91,0,0,16.3,11380.66
2021-02-05,1,1,304,32.48,0,0,15.3,9873.92
2021-02-06,1,1,425,34.57,0,0,16.7,14692.25
2021-02-07,1,1,665,27.4,1,0,15.2,18221.0
2021-02-08,1,1,313,34.84,0,0,15.0,10904.92
2021-02-09,1,1,347,33.85,0,0,17.0,11745.95
2021-02-10,1,1,350,32.26,0,0,14.8,11291.0
2021-02-11,1,1,344,34.64,0,0,17.8,11916.16
2021-02-12,1,1,348,33.18,0,0,18.1,11546.64
